x,y,z,C,R,G,B
0,0,0,0,0,0,0
-5.057771786,-4.132708932,0.242809188,1,1,0,0
-5.035517753,-4.088825974,0.241137472,1,1,0,0
-5.125807925,-4.136111827,0.244852406,1,1,0,0
-5.079222136,-4.072855314,0.242029053,1,1,0,0
-5.1323336,-4.089636333,0.243960825,1,1,0,0
-5.12840358,-4.060844029,0.243180689,1,1,0,0
-5.013450186,-3.966831127,0.004351577,1,1,0,0
-5.14240898,-4.046327208,0.243254987,1,1,0,0
-5.091629698,-4.003350539,0.004408754,1,1,0,0
-5.141415625,-4.020067234,0.242623445,1,1,0,0
-5.103888062,-3.987711035,0.004408754,1,1,0,0
-5.171085438,-4.017763002,0.243440729,1,1,0,0
-5.086872117,-3.949343008,0.004383569,1,1,0,0
-5.157284558,-3.981726736,0.242214796,1,1,0,0
-5.137761286,-3.963648708,0.004416922,1,1,0,0
-5.170268735,-3.966493834,0.242251944,1,1,0,0
-5.110215675,-3.917447971,0.004382888,1,1,0,0
-5.270628242,-4.017860206,0.246375543,1,1,0,0
-5.080048582,-3.869635905,0.004346812,1,1,0,0
-5.276557469,-3.996844032,0.246078354,1,1,0,0
-5.010421384,-4.089590652,0.178395421,1,1,0,0
-5.211499413,-3.944559242,0.004448914,1,1,0,0
-5.274423076,-3.969820082,0.24540965,1,1,0,0
-5.04235285,-4.0899427,0.179084734,1,1,0,0
-5.215584826,-3.922541485,0.004442107,1,1,0,0
-5.110794275,-3.840379778,-0.229946797,1,1,0,0
-5.268971499,-3.94045285,0.24459238,1,1,0,0
-5.053320301,-4.073198653,0.179029584,1,1,0,0
-5.197154642,-3.883774714,0.004416241,1,1,0,0
-5.135364643,-3.8342481,-0.230521937,1,1,0,0
-5.283442357,-3.926057717,0.244703812,1,1,0,0
-5.06423259,-4.056426399,0.17897445,1,1,0,0
-5.20503126,-3.864830916,0.004412838,1,1,0,0
-5.130249213,-3.805971042,-0.229767074,1,1,0,0
-5.218285401,-3.852847234,0.241137472,1,1,0,0
-5.089167378,-4.050831135,0.179415599,1,1,0,0
-5.216863904,-3.848844105,0.004412838,1,1,0,0
-5.192580198,-3.827570318,-0.232031663,1,1,0,0
-5.292123322,-3.882334243,0.243997973,1,1,0,0
-5.110195584,-4.042020014,0.179718912,1,1,0,0
-5.24558439,-3.845236116,0.004427132,1,1,0,0
-5.210748612,-3.81634568,-0.232319241,1,1,0,0
-5.271707406,-3.84253503,0.242512,1,1,0,0
-5.121000559,-4.025087796,0.179663763,1,1,0,0
-5.246040067,-3.820882723,0.004417603,1,1,0,0
-5.226472942,-3.803281524,-0.232498964,1,1,0,0
-5.294802117,-3.83454955,0.243032095,1,1,0,0
-5.134900838,-4.010588322,0.179718912,1,1,0,0
-5.231813634,-3.786009948,0.004395821,1,1,0,0
-5.241355845,-3.789571127,-0.232642745,1,1,0,0
-5.318708592,-3.827041976,0.243589338,1,1,0,0
-5.118751957,-3.972751868,0.178726286,1,1,0,0
-5.238532941,-3.766438513,0.004391737,1,1,0,0
-5.061278832,-3.926447399,-0.057467405,1,1,0,0
-5.269190308,-3.785133896,-0.233361667,1,1,0,0
-5.318230762,-3.801989046,0.243032095,1,1,0,0
-5.119042669,-3.947871953,0.178312704,1,1,0,0
-5.247622324,-3.748605491,0.004389695,1,1,0,0
-5.023407772,-3.872439352,-0.056902241,1,1,0,0
-5.295419932,-3.77940049,-0.234008705,1,1,0,0
-6.768367871,-4.815025149,0.918789308,1,1,0,0
-5.327425768,-3.783919025,0.242920649,1,1,0,0
-5.138271611,-3.937620831,0.178560854,1,1,0,0
-5.263990823,-3.735961039,0.004393779,1,1,0,0
-5.116235081,-3.919032885,-0.057817269,1,1,0,0
-5.348565302,-3.792617409,-0.23584195,1,1,0,0
-6.781485254,-4.793090394,0.918569427,1,1,0,0
-5.347174803,-3.773318527,0.243292135,1,1,0,0
-5.147942043,-3.920021553,0.178478137,1,1,0,0
-5.292590388,-3.731895233,0.004408073,1,1,0,0
-5.123460276,-3.899684508,-0.057763446,1,1,0,0
